,Accuracy,Train Losses,Test Losses,MAE
0,0.9743589743589743,"[0.7137053062518438, 0.6883758902549744, 0.6585211008787155, 0.665246789654096, 0.6474271217981974, 0.6427650451660156, 0.6395448595285416, 0.6409382273753484, 0.6033375337719917, 0.6081847324967384]","[0.6889277100563049, 0.6572906573613485, 0.644631544748942, 0.6373358766237894, 0.629403293132782, 0.6206685105959574, 0.6191243330637614, 0.6121288140614828, 0.6029572983582815, 0.5938890278339386]",0.02564102564102564
1,0.9358974358974359,"[0.7069662064313889, 0.7022543549537659, 0.6939397652943929, 0.6882704893747965, 0.6833451787630717, 0.6853665510813395, 0.6737163811922073, 0.6792307744423548, 0.6763139516115189, 0.6711942503849665]","[0.6912529468536377, 0.6903417309125265, 0.6895374059677124, 0.6888938148816427, 0.6867692073186239, 0.6858413616816202, 0.6867716113726298, 0.6870981852213541, 0.6868728200594584, 0.6853572726249695]",0.0641025641025641
2,0.7692307692307693,"[0.6951276610294977, 0.6968382398287455, 0.6956541240215302, 0.6927590618530909, 0.6897414922714233, 0.6925812611977259, 0.6887000997861227, 0.6875268369913101, 0.6909871449073156, 0.6888492802778879]","[0.6924333175023397, 0.6906065940856934, 0.6902407805124918, 0.6903969248135885, 0.6904975970586141, 0.6900148987770081, 0.6887965003649393, 0.6868365605672201, 0.6849225759506226, 0.6852432092030843]",0.23076923076923078
3,0.8589743589743589,"[0.6881830046574274, 0.6903099715709686, 0.6917101989189783, 0.6887340943018595, 0.6869271993637085, 0.6871235768000284, 0.681548997759819, 0.689324826002121, 0.6833722144365311, 0.684134711821874]","[0.6959391236305237, 0.6959107319513956, 0.696153442064921, 0.6961346467336019, 0.6951186458269755, 0.6956268350283304, 0.6941432952880859, 0.6934420863787333, 0.6939023534456888, 0.6946929693222046]",0.14102564102564102
4,0.3717948717948718,"[0.694681982199351, 0.6892648984988531, 0.6890350927909216, 0.6896554082632065, 0.6868469218413035, 0.6909425606330236, 0.6813259869813919, 0.6885931342840195, 0.689414436618487, 0.6838648716608683]","[0.6966586112976074, 0.6982535521189371, 0.7001650929450989, 0.7010746399561564, 0.7003213763237, 0.6975468198458353, 0.6985572377840678, 0.6984484791755676, 0.6966145634651184, 0.6958002050717672]",0.6282051282051282
5,0.9230769230769231,"[0.6873557269573212, 0.6889640092849731, 0.6931994209686915, 0.6849361707766851, 0.6892586251099905, 0.6813809822003046, 0.6882756253083547, 0.680821473399798, 0.6858340948820114, 0.6835952401161194]","[0.6922082901000977, 0.6904712518056234, 0.6890262166659037, 0.6920103629430135, 0.6925947268803915, 0.6900134483973185, 0.6885329683621725, 0.6899073918660482, 0.6884010632832845, 0.6869772871335348]",0.07692307692307693
6,0.7307692307692307,"[0.6977726171414057, 0.6894964873790741, 0.6909726113080978, 0.6859088440736135, 0.6803940832614899, 0.6905997097492218, 0.6782371203104655, 0.6674918979406357, 0.6782567799091339, 0.6815021137396494]","[0.6998706062634786, 0.6932856639226278, 0.6902400453885397, 0.6886163552602133, 0.6889451543490092, 0.6888001759847006, 0.6884358326594034, 0.690227746963501, 0.6910086671511332, 0.6900043487548828]",0.2692307692307692
7,0.7692307692307693,"[0.6932020684083303, 0.6905846446752548, 0.6888102442026138, 0.6896148473024368, 0.6916362394889196, 0.6894356310367584, 0.679044763247172, 0.6896711389223734, 0.6797566711902618, 0.6894901494185129]","[0.6920220851898193, 0.686366617679596, 0.6890232364336649, 0.6852394143740336, 0.6836532155672709, 0.6834491093953451, 0.6813014348347982, 0.6765631635983785, 0.6773947477340698, 0.6817529201507568]",0.23076923076923078
8,0.6883116883116883,"[0.7066796024640402, 0.6891596168279648, 0.6925217906634012, 0.6832635353008906, 0.6876587122678757, 0.6930355678002039, 0.677743062376976, 0.6854490141073862, 0.6802584578593572, 0.6844255924224854]","[0.6915368835131327, 0.6856771310170492, 0.6830943624178568, 0.6812507510185242, 0.6809331178665161, 0.6804932157198588, 0.6786896586418152, 0.6773638526598612, 0.6773080428441366, 0.6767149170239767]",0.3116883116883117
9,0.6883116883116883,"[0.6958489418029785, 0.6872106989224752, 0.6899775813023249, 0.6880527983109156, 0.686025803287824, 0.6811921546856562, 0.6854409476121267, 0.6901707748572031, 0.6835698833068212, 0.6685803780953089]","[0.6918925444285074, 0.690290649731954, 0.6886835296948751, 0.6881205836931864, 0.6867160002390543, 0.6862619519233704, 0.685669481754303, 0.6849528749783834, 0.6848596930503845, 0.6856067975362142]",0.3116883116883117
