,RMSE,Train Losses,Test Losses,MAE
0,"[1.0718128681182861, 0.15030723810195923, 0.07675834745168686, 1.148782730102539, 36.01587677001953, 0.881735622882843]","[1.3518093824386597, 1.2017545700073242, 1.1566851139068604, 1.1360946893692017, 1.1201999187469482, 1.1103514432907104, 1.0886478424072266, 1.0905672311782837, 1.0746098756790161, 1.0651570558547974]",1.148782730102539,"[1.0718128681182861, 0.15030723810195923, 0.07675834745168686, 1.148782730102539, 36.01587677001953, 0.881735622882843]"
1,"[1.0461344718933105, 0.0966678261756897, 0.06861566752195358, 1.0943973064422607, 31.67523956298828, 0.8431499600410461]","[1.2603572607040405, 1.1212410926818848, 1.0803321599960327, 1.050215721130371, 1.020995020866394, 1.0088281631469727, 0.988788366317749, 0.9789426326751709, 0.9619237780570984, 0.9487977027893066]",1.0943973064422607,"[1.0461344718933105, 0.0966678261756897, 0.06861566752195358, 1.0943973064422607, 31.67523956298828, 0.8431499600410461]"
2,"[1.029915452003479, 0.11780524253845215, 0.06891641020774841, 1.0607258081436157, 32.95404052734375, 0.8237485885620117]","[1.2647836208343506, 1.1198937892913818, 1.0915127992630005, 1.0713486671447754, 1.0458816289901733, 1.0389081239700317, 1.027928352355957, 1.0187739133834839, 1.0144851207733154, 1.003376841545105]",1.0607258081436157,"[1.029915452003479, 0.11780524253845215, 0.06891641020774841, 1.0607258081436157, 32.95404052734375, 0.8237485885620117]"
3,"[1.050768494606018, 0.07982563972473145, 0.07095698267221451, 1.1041145324707031, 33.849403381347656, 0.8568466305732727]","[1.2800723314285278, 1.1489923000335693, 1.121727466583252, 1.0984240770339966, 1.0807126760482788, 1.063478946685791, 1.0545568466186523, 1.0449590682983398, 1.0321059226989746, 1.0231897830963135]",1.1041145324707031,"[1.050768494606018, 0.07982563972473145, 0.07095698267221451, 1.1041145324707031, 33.849403381347656, 0.8568466305732727]"
4,"[1.0712026357650757, 0.11162209510803223, 0.0737283006310463, 1.1474751234054565, 34.217124938964844, 0.877846360206604]","[1.3272907733917236, 1.1910674571990967, 1.1489378213882446, 1.1260024309158325, 1.0949567556381226, 1.080048680305481, 1.0663198232650757, 1.0584862232208252, 1.041761040687561, 1.040689468383789]",1.1474751234054565,"[1.0712026357650757, 0.11162209510803223, 0.0737283006310463, 1.1474751234054565, 34.217124938964844, 0.877846360206604]"
5,"[1.0464316606521606, 0.10683286190032959, 0.07001276314258575, 1.0950191020965576, 33.12486267089844, 0.8551854491233826]","[1.2720140218734741, 1.1371214389801025, 1.1056904792785645, 1.0823498964309692, 1.0652751922607422, 1.0470058917999268, 1.0413031578063965, 1.0269778966903687, 1.0143795013427734, 1.0037379264831543]",1.0950191020965576,"[1.0464316606521606, 0.10683286190032959, 0.07001276314258575, 1.0950191020965576, 33.12486267089844, 0.8551854491233826]"
6,"[1.0578852891921997, 0.09172886610031128, 0.06976678222417831, 1.1191213130950928, 31.231761932373047, 0.8545728325843811]","[1.2571907043457031, 1.1259914636611938, 1.0899842977523804, 1.0695099830627441, 1.0425574779510498, 1.0184524059295654, 1.0052378177642822, 0.9863089323043823, 0.973483681678772, 0.9590856432914734]",1.1191213130950928,"[1.0578852891921997, 0.09172886610031128, 0.06976678222417831, 1.1191213130950928, 31.231761932373047, 0.8545728325843811]"
7,"[1.0670652389526367, 0.06914263963699341, 0.07047097384929657, 1.1386281251907349, 32.39118576049805, 0.8686563968658447]","[1.2467459440231323, 1.112001895904541, 1.0939199924468994, 1.0690217018127441, 1.0389933586120605, 1.0271000862121582, 1.0162343978881836, 1.0076220035552979, 1.0014830827713013, 0.9861224889755249]",1.1386282444000244,"[1.0670652389526367, 0.06914263963699341, 0.07047097384929657, 1.1386281251907349, 32.39118576049805, 0.8686563968658447]"
8,"[1.0620986223220825, 0.10189175605773926, 0.07140245288610458, 1.1280535459518433, 32.768489837646484, 0.8508204817771912]","[1.31013023853302, 1.1736356019973755, 1.1462361812591553, 1.122053623199463, 1.1036765575408936, 1.0841634273529053, 1.0699939727783203, 1.0556576251983643, 1.0463248491287231, 1.0423557758331299]",1.1280535459518433,"[1.0620986223220825, 0.10189175605773926, 0.07140245288610458, 1.1280535459518433, 32.768489837646484, 0.8508204817771912]"
9,"[1.0518285036087036, 0.10166865587234497, 0.07027675956487656, 1.1063432693481445, 32.878562927246094, 0.8563017845153809]","[1.2474931478500366, 1.1206265687942505, 1.0981998443603516, 1.0675630569458008, 1.04222571849823, 1.0238555669784546, 1.0011345148086548, 0.9947315454483032, 0.9797512292861938, 0.9710353016853333]",1.1063432693481445,"[1.0518285036087036, 0.10166865587234497, 0.07027675956487656, 1.1063432693481445, 32.878562927246094, 0.8563017845153809]"
