,RootMeanSquaredError,R2Score,MeanSquaredLogarithmicError,MeanSquaredError,MeanAbsolutePercentageError,MeanAbsoluteError
0,1.0601249933242798,0.16763460636138916,0.07599300891160965,1.1238651275634766,35.57461166381836,0.8586732149124146
1,1.0600676536560059,0.0623469352722168,0.06830275058746338,1.1237435340881348,31.635833740234375,0.8770213723182678
2,1.0271716117858887,0.11057549715042114,0.06610310822725296,1.0550814867019653,31.783788681030273,0.8387053608894348
3,1.0501453876495361,0.0865335464477539,0.06852350383996964,1.1028053760528564,32.30327606201172,0.8574180006980896
4,1.0706146955490112,0.12672126293182373,0.07640104740858078,1.1462159156799316,35.6126708984375,0.8587300777435303
5,1.0526944398880005,0.09763234853744507,0.06988285481929779,1.1081656217575073,32.46665573120117,0.8544014692306519
6,1.0668721199035645,0.07295691967010498,0.07098676264286041,1.1382160186767578,32.74893569946289,0.8726246953010559
7,1.051741361618042,0.07436347007751465,0.0675048902630806,1.1061599254608154,31.97674560546875,0.8661324381828308
8,1.054412841796875,0.11265212297439575,0.07099398225545883,1.1117863655090332,33.112430572509766,0.850114107131958
9,1.0448462963104248,0.10880839824676514,0.0696626827120781,1.0917037725448608,32.76810836791992,0.841248631477356
